Datum;Basisreeks_plassen_kanalen
2022-01-12 00:00:00;3.71
2022-01-13 00:00:00;4.81
2022-01-14 00:00:00;4.18
2022-01-15 00:00:00;4.07
2022-01-16 00:00:00;4.23
2022-01-17 00:00:00;5.15
2022-01-18 00:00:00;3.65
2022-01-19 00:00:00;4.18
2022-01-20 00:00:00;3.15
2022-01-21 00:00:00;2.74
2022-01-22 00:00:00;4.73
2022-01-23 00:00:00;5.39
2022-01-24 00:00:00;4.98
2022-01-25 00:00:00;3.99
2022-01-26 00:00:00;3.71
2022-01-27 00:00:00;5.34
2022-01-28 00:00:00;4.56
2022-01-29 00:00:00;7
2022-01-30 00:00:00;4.75
2022-01-31 00:00:00;4.37
2022-02-01 00:00:00;4.83
2022-02-02 00:00:00;6.67
2022-02-03 00:00:00;7.11
2022-02-04 00:00:00;5.98
2022-02-05 00:00:00;4.39
2022-02-06 00:00:00;6.61
2022-02-07 00:00:00;4.82
2022-02-08 00:00:00;7.39
2022-02-09 00:00:00;8.25
2022-02-10 00:00:00;7.53
2022-02-11 00:00:00;4.91
2022-02-12 00:00:00;3.05
2022-02-13 00:00:00;3.05
2022-02-14 00:00:00;7.3
2022-02-15 00:00:00;6.47
2022-02-16 00:00:00;8.51
2022-02-17 00:00:00;7.64
2022-02-18 00:00:00;6.24
2022-02-19 00:00:00;4.24
2022-02-20 00:00:00;6.42
2022-02-21 00:00:00;5.35
2022-02-22 00:00:00;5.16
2022-02-23 00:00:00;6.09
2022-02-24 00:00:00;5.64
2022-02-25 00:00:00;4.55
2022-02-26 00:00:00;5.21
2022-02-27 00:00:00;4.59
2022-02-28 00:00:00;4.54
2022-03-01 00:00:00;4.54
2022-03-02 00:00:00;6.93
2022-03-03 00:00:00;6
2022-03-04 00:00:00;5.27
2022-03-05 00:00:00;4.93
2022-03-06 00:00:00;4.88
2022-03-07 00:00:00;5.64
2022-03-08 00:00:00;4.57
2022-03-09 00:00:00;5.97
2022-03-10 00:00:00;7.68
2022-03-11 00:00:00;7.49
2022-03-12 00:00:00;8.9
2022-03-13 00:00:00;10.57
2022-03-14 00:00:00;10.98
2022-03-15 00:00:00;11.19
2022-03-16 00:00:00;9.9
2022-03-17 00:00:00;10.39
2022-03-18 00:00:00;10.65
2022-03-19 00:00:00;9.33
2022-03-20 00:00:00;5.49
2022-03-21 00:00:00;8.42
2022-03-22 00:00:00;10.93
2022-03-23 00:00:00;12.16
2022-03-24 00:00:00;12.13
2022-03-25 00:00:00;11.73
2022-03-26 00:00:00;11.66
2022-03-27 00:00:00;13.16
2022-03-28 00:00:00;12.6
2022-03-29 00:00:00;12.53
2022-03-30 00:00:00;10.72
2022-03-31 00:00:00;6.24
2022-04-01 00:00:00;3.32
2022-04-02 00:00:00;5.18
2022-04-03 00:00:00;6.62
2022-04-04 00:00:00;6.36
2022-04-05 00:00:00;9.28
2022-04-06 00:00:00;9.47
2022-04-07 00:00:00;9.05
2022-04-08 00:00:00;7.74
2022-04-09 00:00:00;7.6
2022-04-10 00:00:00;9.44
2022-04-11 00:00:00;11.64
2022-04-12 00:00:00;12.64
2022-04-13 00:00:00;14.79
2022-04-14 00:00:00;16.14
2022-04-15 00:00:00;16.19
2022-04-16 00:00:00;15.33
2022-04-17 00:00:00;14.63
2022-04-18 00:00:00;15.43
2022-04-19 00:00:00;15.54
2022-04-20 00:00:00;14.75
2022-04-21 00:00:00;14.48
2022-04-22 00:00:00;14.45
2022-04-23 00:00:00;14.19
2022-04-24 00:00:00;13.92
2022-04-25 00:00:00;10.85
2022-04-26 00:00:00;12.66
2022-04-27 00:00:00;12.58
2022-04-28 00:00:00;12.87
2022-04-29 00:00:00;12.06
2022-04-30 00:00:00;12.45
2022-05-01 00:00:00;14.48
2022-05-02 00:00:00;15.49
2022-05-03 00:00:00;13.54
2022-05-04 00:00:00;12.17
2022-05-06 00:00:00;21.74
2022-05-07 00:00:00;19.35
2022-05-08 00:00:00;17.41
2022-05-09 00:00:00;18.43
2022-05-10 00:00:00;17.62
2022-05-11 00:00:00;17.08
2022-05-12 00:00:00;17.65
2022-05-13 00:00:00;17.95
2022-05-14 00:00:00;19.13
2022-05-15 00:00:00;20.01
2022-05-16 00:00:00;19.1
2022-05-17 00:00:00;19.94
2022-05-18 00:00:00;21.65
2022-05-19 00:00:00;20.48
2022-05-20 00:00:00;17.96
2022-05-21 00:00:00;17.92
2022-05-22 00:00:00;20.23
2022-05-23 00:00:00;18.93
2022-05-24 00:00:00;17.94
2022-05-25 00:00:00;17.07
2022-05-26 00:00:00;17.65
2022-05-27 00:00:00;17.41
2022-05-28 00:00:00;16.17
2022-05-29 00:00:00;15.25
2022-05-30 00:00:00;15.94
2022-05-31 00:00:00;17.25
2022-06-01 00:00:00;17.29
2022-06-02 00:00:00;18.63
2022-06-03 00:00:00;19.4
2022-06-04 00:00:00;17.33
2022-06-05 00:00:00;16.64
2022-06-06 00:00:00;16.66
2022-06-07 00:00:00;18.02
2022-06-08 00:00:00;18.05
2022-06-09 00:00:00;19.8
2022-06-10 00:00:00;20.29
2022-06-11 00:00:00;21.27
2022-06-12 00:00:00;21.42
2022-06-13 00:00:00;20.66
2022-06-14 00:00:00;20.67
2022-06-15 00:00:00;21.76
2022-06-16 00:00:00;22.96
2022-06-17 00:00:00;23.93
2022-06-18 00:00:00;23.8
2022-06-19 00:00:00;18.57
2022-06-20 00:00:00;18.88
2022-06-21 00:00:00;20.2
2022-06-22 00:00:00;21.87
2022-06-23 00:00:00;23.43
2022-06-24 00:00:00;23.88
2022-06-25 00:00:00;22.05
2022-06-26 00:00:00;21.72
2022-06-27 00:00:00;20.28
2022-06-28 00:00:00;21.1
2022-06-29 00:00:00;22.91
2022-06-30 00:00:00;21.78
2022-07-01 00:00:00;19.94
2022-07-02 00:00:00;20.96
2022-07-03 00:00:00;21.76
2022-07-04 00:00:00;22.03
2022-07-05 00:00:00;21.85
2022-07-06 00:00:00;20.3
2022-07-07 00:00:00;18.65
2022-07-08 00:00:00;20.25
2022-07-09 00:00:00;21.55
2022-07-10 00:00:00;20.06
2022-07-11 00:00:00;22.15
2022-07-12 00:00:00;23.56
2022-07-13 00:00:00;24.41
2022-07-14 00:00:00;21.91
2022-07-15 00:00:00;21.36
2022-07-16 00:00:00;21.89
2022-07-17 00:00:00;22.5
2022-07-18 00:00:00;24.95
2022-07-19 00:00:00;26.55
2022-07-20 00:00:00;25.01
2022-07-21 00:00:00;21.2
2022-07-22 00:00:00;20.01
2022-07-23 00:00:00;22.27
2022-07-24 00:00:00;24.18
2022-07-25 00:00:00;23.42
2022-07-26 00:00:00;20.46
2022-07-27 00:00:00;19.72
2022-07-28 00:00:00;19.22
2022-07-29 00:00:00;20.65
2022-07-30 00:00:00;21.58
2022-07-31 00:00:00;20.77
2022-08-01 00:00:00;21.86
2022-08-02 00:00:00;21.98
2022-08-03 00:00:00;23.97
2022-08-04 00:00:00;24.05
2022-08-05 00:00:00;20.84
2022-08-06 00:00:00;20.07
2022-08-07 00:00:00;20.72
2022-08-08 00:00:00;20.76
2022-08-09 00:00:00;21.5
2022-08-10 00:00:00;22.24
2022-08-11 00:00:00;23.17
2022-08-12 00:00:00;23.65
2022-08-13 00:00:00;23.98
2022-08-14 00:00:00;24.72
2022-08-15 00:00:00;24.16
2022-08-16 00:00:00;23.45
2022-08-17 00:00:00;21.41
2022-08-18 00:00:00;21.97
2022-08-19 00:00:00;22.24
2022-08-20 00:00:00;22.9
2022-08-21 00:00:00;21.73
2022-08-22 00:00:00;22.92
2022-08-23 00:00:00;23.81
2022-08-24 00:00:00;24.64
2022-08-25 00:00:00;24.6
2022-08-26 00:00:00;21.21
2022-08-27 00:00:00;18.95
2022-08-28 00:00:00;18.64
2022-08-29 00:00:00;18.75
2022-08-30 00:00:00;19.27
2022-08-31 00:00:00;18.64
2022-09-01 00:00:00;18.56
2022-09-02 00:00:00;18.59
2022-09-03 00:00:00;19.19
2022-09-04 00:00:00;20.84
2022-09-05 00:00:00;21.27
2022-09-06 00:00:00;21.87
2022-09-07 00:00:00;21.53
2022-09-08 00:00:00;20.52
2022-09-09 00:00:00;17.33
2022-09-10 00:00:00;18.35
2022-09-11 00:00:00;19.51
2022-09-12 00:00:00;20.58
2022-09-13 00:00:00;21.26
2022-09-14 00:00:00;19.61
2022-09-15 00:00:00;17.48
2022-09-16 00:00:00;14.43
2022-09-17 00:00:00;13.26
2022-09-18 00:00:00;12.47
2022-09-19 00:00:00;13.13
2022-09-20 00:00:00;14.98
2022-09-21 00:00:00;16.03
2022-09-22 00:00:00;15.32
2022-09-23 00:00:00;14.63
2022-09-24 00:00:00;14.76
2022-09-25 00:00:00;14.45
2022-09-26 00:00:00;13.51
2022-09-27 00:00:00;11.43
2022-09-28 00:00:00;12.17
2022-09-29 00:00:00;12.68
2022-09-30 00:00:00;12.67
2022-10-01 00:00:00;13.63
2022-10-02 00:00:00;14.31
2022-10-03 00:00:00;13.67
2022-10-04 00:00:00;14.35
2022-10-05 00:00:00;14.55
2022-10-06 00:00:00;13.41
2022-10-07 00:00:00;12.72
2022-10-08 00:00:00;13.21
2022-10-09 00:00:00;12.56
2022-10-10 00:00:00;11.14
2022-10-11 00:00:00;11.09
2022-10-12 00:00:00;11.25
2022-10-13 00:00:00;11.87
2022-10-14 00:00:00;11.93
2022-10-15 00:00:00;12.78
2022-10-16 00:00:00;13.51
2022-10-17 00:00:00;13.85
2022-10-18 00:00:00;13.65
2022-10-19 00:00:00;11.73
2022-10-20 00:00:00;10.34
2022-10-21 00:00:00;12.66
2022-10-22 00:00:00;13.72
2022-10-23 00:00:00;13.32
2022-10-24 00:00:00;13.45
2022-10-25 00:00:00;13.64
2022-10-26 00:00:00;13.57
2022-10-27 00:00:00;13.94
2022-10-28 00:00:00;14.27
2022-10-29 00:00:00;14.17
2022-10-30 00:00:00;13.95
2022-10-31 00:00:00;19.35
2022-11-01 00:00:00;12.51
2022-11-02 00:00:00;11.06
2022-11-03 00:00:00;10.63
2022-11-04 00:00:00;10.63
2022-11-05 00:00:00;9.61
2022-11-06 00:00:00;9.81
2022-11-07 00:00:00;10.47
2022-11-08 00:00:00;10.65
2022-11-09 00:00:00;10.65
2022-11-10 00:00:00;10.6
2022-11-11 00:00:00;10.16
2022-11-12 00:00:00;9.46
2022-11-13 00:00:00;8.51
2022-11-14 00:00:00;6.23
2022-11-15 00:00:00;7.94
2022-11-16 00:00:00;9.38
2022-11-17 00:00:00;9.07
2022-11-18 00:00:00;7.8
2022-11-19 00:00:00;5.06
2022-11-20 00:00:00;1.94
2022-11-21 00:00:00;4.44
2022-11-22 00:00:00;5.49
2022-11-23 00:00:00;6.68
2022-11-24 00:00:00;6.96
2022-11-25 00:00:00;7.3
2022-11-26 00:00:00;6.15
2022-11-27 00:00:00;6.02
2022-11-28 00:00:00;7.42
2022-11-29 00:00:00;7.17
2022-11-30 00:00:00;6.64
2022-12-01 00:00:00;4.83
2022-12-02 00:00:00;3.85
2022-12-03 00:00:00;1.88
2022-12-04 00:00:00;0.68
2022-12-05 00:00:00;2.74
2022-12-06 00:00:00;3.88
2022-12-07 00:00:00;3.73
2022-12-08 00:00:00;3.51
2022-12-09 00:00:00;2.31
2022-12-10 00:00:00;1.8
2022-12-11 00:00:00;2.1
2022-12-12 00:00:00;1.66
2022-12-13 00:00:00;1.72
2022-12-14 00:00:00;1.86
2022-12-15 00:00:00;1.86
2022-12-16 00:00:00;1.99
2022-12-17 00:00:00;1.92
2022-12-18 00:00:00;1.48
2022-12-19 00:00:00;0.75
2022-12-20 00:00:00;3.06
2022-12-21 00:00:00;4.46
2022-12-22 00:00:00;5.98
2022-12-23 00:00:00;6.98
2022-12-24 00:00:00;7.11
2022-12-25 00:00:00;6.71
2022-12-26 00:00:00;6.12
2022-12-27 00:00:00;4.38
2022-12-28 00:00:00;6.68
2022-12-29 00:00:00;7.48
2022-12-30 00:00:00;5.61
2022-12-31 00:00:00;9.73
